abandon	abdicate, desert, leave, resign, abjure, discontinue, quit, retire from, cast off, forego, recant, retract, cease, forsake, relinquish, surrender, cede, forswear, renounce, vacate, depart from, give up, repudiate, withdraw from	adopt, defend, occupy, seek, advocate, favor, prosecute, support, assert, haunt, protect, undertake, cherish, hold, pursue, uphold, claim, keep, retain, vindicate, court, maintain
abase	bring low, depress, dishonor, lower, cast down, discredit, humble, reduce, debase, disgrace, humiliate, sink, degrade	advance, elevate, honor, raise, aggrandize, exalt, promote, uplift, dignify
abash	bewilder, daunt, embarrass, mortify, chagrin, discompose, humble, overawe, confound, disconcert, humiliate, shame, confuse, dishearten	animate, cheer, encourage, rally, buoy, embolden, inspirit, uphold
abate	decline, ebb, mitigate, reduce, decrease, lessen, moderate, subside, diminish, lower	aggravate, enhance, foment, rage, amplify, enlarge, increase, raise, continue, extend, magnify, revive, develop
abbreviation	abridgment, contraction	
abet	advocate, countenance, incite, sanction, aid, embolden, instigate, support, assist, encourage, promote, uphold	baffle, deter, dissuade, hinder, confound, disapprove, expose, impede, counteract, disconcert, frustrate, obstruct, denounce, discourage
abhor	abominate, dislike, loathe, scorn, despise, hate, nauseate, shun, detest	admire, crave, esteem, love, approve, desire, like, relish, covet, enjoy
abide	anticipate, dwell, remain, stop, await, endure, reside, tarry, bear, expect, rest, tolerate, bide, inhabit, sojourn, wait, confront, live, stay, watch, continue, lodge	abandon, forfeit, migrate, reject, avoid, forfend, move, resist, depart, journey, proceed, shun
abolish	abate, eradicate, prohibit, stamp out, abrogate, exterminate, remove, subvert, annihilate, extirpate, repeal, supplant, annul, nullify, reverse, suppress, destroy, obliterate, revoke, terminate, end, overthrow, set aside	authorize, establish, reinstate, revive, cherish, institute, renew, set up, confirm, introduce, repair, support, continue, legalize, restore, sustain, enact, promote
abomination	abhorrence, curse, hatred, plague, abuse, detestation, horror, shame, annoyance, disgust, iniquity, villainy, aversion, evil, nuisance, wickedness, crime, execration, offense	affection, blessing, enjoyment, joy, appreciation, delight, esteem, satisfaction, approval, desire, gratification, treat, benefit
abridgment	abbreviation, compend, epitome, summary, abstract, compendium, outline, synopsis, analysis, digest	
absolute	arbitrary, compulsory, haughty, peremptory, arrogant, controlling, imperative, positive, authoritative, despotic, imperious, supreme, autocratic, dictatorial, irresponsible, tyrannical, coercive, dogmatic, lordly, unconditional, commanding, domineering, overbearing, unequivocal, compulsive, exacting	accountable, constitutional, gentle, lowly, responsible, complaisant, contingent, humble, meek, submissive, compliant, docile, lenient, mild, yielding, conditional, ductile, limited
absolve	acquit, exculpate, forgive, pardon, clear, exempt, free, release, discharge, exonerate, liberate, set free	accuse, charge, condemn, impeach, obligate, bind, compel, convict, inculpate, oblige
absorb	consume, engross, suck up, take in, drink in, exhaust, swallow, take up, drink up, imbibe, swallow up	cast out, dissipate, emit, put forth, shoot forth, disgorge, distract, exude, radiate, throw off, disperse, eject, give up, send out, vomit
abstinence	abstemiousness, frugality, self-denial, sobriety, continence, moderation, self-restraint, temperance, fasting, self-control	drunkenness, greed, reveling, sensuality, excess, intemperance, revelry, wantonness, gluttony, intoxication, self-indulgence
abstract	appropriate, distract, purloin, steal, detach, divert, remove, take away, discriminate, eliminate, separate, withdraw, distinguish	add, complete, fill up, restore, unite, combine, conjoin, increase, strengthen
abstracted	absent, heedless, listless, preoccupied, absent-minded, inattentive, negligent, thoughtless, absorbed, indifferent, oblivious	alert, on hand, ready, wide-awake, attentive, prompt, thoughtful
absurd	anomalous, ill-considered, ludicrous, ridiculous, chimerical, ill-judged, mistaken, senseless, erroneous, inconclusive, monstrous, stupid, false, incorrect, nonsensical, unreasonable, foolish, infatuated, paradoxical, wild, ill-advised, irrational, preposterous	certain, incontrovertible, rational, substantial, consistent, indisputable, reasonable, true, demonstrable, indubitable, sagacious, undeniable, demonstrated, infallible, sensible, unquestionable, established, logical, sound, wise, incontestable
abuse	aggrieve, impose on or, oppress, ruin, damage, upon, persecute, slander, defame, injure, pervert, victimize, defile, malign, prostitute, vilify, disparage, maltreat, rail at, violate, harm, misemploy, ravish, vituperate, ill-treat, misuse, reproach, wrong, ill-use, molest, revile	applaud, conserve, favor, protect, sustain, benefit, consider, laud, regard, tend, care for, eulogize, panegyrize, respect, uphold, cherish, extol, praise, shield, vindicate
